player_id,player_name,age,position,team_name,minutes,appearances,goals,assists,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,shots_total,shots_on,minutes_90s,goals_per90,assists_per90,passes_total_per90,passes_key_per90,tackles_total_per90,tackles_interceptions_per90,shots_total_per90,progression_index,defensive_intensity,attacking_output,creativity,duel_success_rate,cluster_kmeans,cluster_hierarchical,fit_score
9971,Antony,25,Attacker,Manchester United,1322.0,29.0,1.0,1.0,561.0,22.0,0.0,40.0,1.0,12.0,211.0,100.0,59.0,26.0,32.0,19.0,26.0,16.0,14.688888888888888,0.0680786686838124,0.0680786686838124,38.19213313161876,1.497730711043873,2.723146747352496,0.8169440242057489,1.7700453857791225,-0.3076061864111258,0.8919936834335563,0.751289873329851,0.7533986302154164,-0.31130908722284784,3,4,-0.30963472904658845
288006,R. Højlund,22,Attacker,Manchester United,2169.0,30.0,10.0,2.0,391.0,28.0,0.0,11.0,1.0,1.0,223.0,84.0,36.0,18.0,30.0,20.0,33.0,21.0,24.1,0.41493775933609955,0.08298755186721991,16.224066390041493,1.1618257261410787,0.45643153526970953,0.04149377593360996,1.3692946058091287,-0.3076061864111258,-1.400079526260064,0.8213944562389917,0.2766437530072402,-1.243473325736393,0,0,-0.6381805217541403
1165,Matheus Cunha,26,Attacker,Manchester United,2453.0,32.0,12.0,7.0,786.0,28.0,0.0,30.0,7.0,13.0,373.0,160.0,125.0,64.0,50.0,31.0,58.0,38.0,27.255555555555556,0.44027721157766,0.2568283734203017,28.83815735833673,1.0273134936812067,1.1006930289441499,0.47696697920913167,2.128006522625357,-0.3076061864111258,-0.6071273125202187,1.705365205514094,0.08572856641671672,-0.7344121979607033,0,0,-0.4596958888079169
18846,A. Wan-Bissaka,28,Defender,Manchester United,1782.0,22.0,0.0,2.0,832.0,12.0,0.0,42.0,15.0,41.0,150.0,89.0,26.0,17.0,9.0,17.0,1.0,1.0,19.8,0.0,0.10101010101010101,42.02020202020202,0.6060606060606061,2.121212121212121,2.0707070707070705,0.050505050505050504,-0.3076061864111258,1.2268140260569915,-0.8745917964991539,-0.5121618422929591,0.8233686225878574,1,1,0.3425997681966858
74,S. Amrabat,29,Midfielder,Manchester United,930.0,21.0,0.0,0.0,645.0,6.0,0.0,27.0,7.0,8.0,104.0,48.0,8.0,6.0,10.0,24.0,2.0,0.0,10.333333333333334,0.0,0.0,62.41935483870967,0.5806451612903225,2.6129032258064515,0.7741935483870968,0.1935483870967742,-0.3076061864111258,0.771754455287805,-0.8361413528558732,-0.5482343562336326,-0.4516209168527614,1,1,-0.19330808490068532
742,R. Varane,31,Defender,Manchester United,1373.0,22.0,1.0,0.0,774.0,1.0,0.0,18.0,18.0,15.0,63.0,43.0,2.0,1.0,3.0,8.0,6.0,2.0,15.255555555555556,0.06554989075018208,0.0,50.73561544064093,0.06554989075018208,1.1798980335032774,0.9832483612527312,0.3932993445010925,-0.3076061864111258,-0.10335393593842936,-0.5734664492689249,-1.2793166369206619,1.6183845650658626,1,1,0.4761987728290198
18772,J. Evans,37,Defender,Manchester United,1391.0,23.0,0.0,1.0,827.0,6.0,0.0,22.0,18.0,23.0,124.0,75.0,6.0,4.0,13.0,17.0,1.0,0.0,15.455555555555556,0.0,0.06470165348670022,53.508267433501075,0.3882099209202013,1.4234363767074047,1.488138030194105,0.06470165348670022,-0.3076061864111258,0.3426101468479072,-0.8948188910979172,-0.8213605184420693,0.9255137072926848,1,1,0.3779948773679464
138908,E. Anderson,23,Midfielder,Newcastle,1022.0,21.0,0.0,2.0,416.0,15.0,0.0,24.0,4.0,8.0,168.0,82.0,38.0,20.0,19.0,21.0,14.0,5.0,11.355555555555556,0.0,0.1761252446183953,36.63405088062622,1.3209393346379648,2.1135029354207435,0.7045009784735812,1.2328767123287672,-0.3076061864111258,0.35535744834631716,0.275710455406767,0.5024760338322328,-0.18108322737566787,3,4,-0.4985372312695148
2864,A. Isak,26,Attacker,Newcastle,2265.0,31.0,21.0,2.0,474.0,27.0,0.0,5.0,1.0,6.0,180.0,71.0,70.0,42.0,15.0,14.0,64.0,43.0,25.166666666666668,0.8344370860927152,0.07947019867549668,18.834437086092713,1.0728476821192052,0.1986754966887417,0.23841059602649006,2.5430463576158937,-0.3076061864111258,-1.4762925675538463,2.4035379950117,0.1503559086510515,-1.0770378566580414,0,0,-0.43290749838745274
18911,N. Pope,33,Goalkeeper,Newcastle,1346.0,18.0,0.0,0.0,312.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,3.0,0.0,1.0,0.0,14.955555555555556,0.0,0.0,20.86181277860327,0.0,0.0,0.0,0.06686478454680535,-0.3076061864111258,-2.003384848762865,-1.0131922328877239,-1.3723525593397832,1.568176531893893,4,3,0.24486545900092976
158694,T. Livramento,23,Defender,Newcastle,1312.0,33.0,1.0,0.0,675.0,12.0,0.0,23.0,7.0,25.0,128.0,80.0,25.0,17.0,28.0,3.0,2.0,2.0,14.577777777777778,0.06859756097560976,0.0,46.30335365853659,0.8231707317073171,1.5777439024390245,1.714939024390244,0.13719512195121952,-0.3076061864111258,0.6090467635364978,-1.0131922328877239,-0.20401425310697796,1.1198071193814223,1,1,0.4095442340257579
169,K. Trippier,35,Defender,Newcastle,2239.0,28.0,1.0,10.0,1711.0,65.0,48.0,57.0,8.0,24.0,224.0,125.0,22.0,16.0,21.0,27.0,6.0,2.0,24.877777777777776,0.040196516301920504,0.40196516301920504,68.77623939258598,2.6127735596248325,2.2912014292094685,0.9647163912460921,0.24117909781152302,4.193968030229974,0.6893572260216174,-0.3758406951223298,2.335995317522418,0.49707182422521307,2,2,0.6473070107499342
2855,E. Krafth,31,Defender,Newcastle,926.0,28.0,0.0,0.0,510.0,9.0,0.0,21.0,3.0,9.0,88.0,44.0,5.0,3.0,7.0,10.0,2.0,0.0,10.28888888888889,0.0,0.0,49.568034557235414,0.8747300215982721,2.0410367170626347,0.8747300215982721,0.19438444924406045,-0.3076061864111258,0.4040790651687607,-1.0131922328877239,-0.13083539591313073,-0.09263750921035294,1,1,-0.12307125918585017
18894,J. Lascelles,32,Defender,Newcastle,1081.0,16.0,1.0,0.0,769.0,2.0,41.0,14.0,12.0,5.0,115.0,64.0,2.0,1.0,2.0,17.0,5.0,1.0,12.011111111111111,0.08325624421831637,0.0,64.02405180388529,0.16651248843663274,1.1655874190564293,0.4162812210915819,0.4162812210915819,0.6250548852580424,-0.5189878520854538,-1.0131922328877239,-1.1360189395776124,0.4601371791331893,1,1,0.508784798940274
284492,L. Hall,21,Defender,Newcastle,777.0,18.0,1.0,0.0,469.0,3.0,0.0,28.0,2.0,13.0,98.0,51.0,15.0,8.0,5.0,5.0,5.0,4.0,8.633333333333333,0.11583011583011583,0.0,54.32432432432433,0.3474903474903475,3.2432432432432434,1.505791505791506,0.5791505791505792,-0.3076061864111258,1.7311276361762127,-0.3421306605662303,-0.8791544069017393,0.10757920325478344,1,1,0.12918281686987512
38734,S. Botman,25,Defender,Newcastle,1385.0,17.0,2.0,2.0,1012.0,5.0,53.0,20.0,16.0,9.0,91.0,56.0,2.0,0.0,2.0,9.0,8.0,2.0,15.38888888888889,0.1299638989169675,0.1299638989169675,65.76173285198556,0.3249097472924188,1.2996389891696751,0.5848375451263538,0.51985559566787,-0.3076061864111258,-0.2810583640826011,-0.26024661311328284,-0.911203384316486,1.0093392931102343,1,1,0.37123249162040006
